"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","75/3074","170/9370",0.441176470588235,1.34477017872862,3.16976037783501,0.00123947330787638,0.00537105100079766,0.00294767531307834,"5594/7043/2949/1452/86/7296/6599/4259/1956/51176/3481/8322/5295/2932/6597/1857/4089/4893/29117/4616/3845/6934/3082/5604/581/2941/2885/83439/5290/207/6654/324/3480/1728/71/598/8289/1019/4040/6464/5728/4087/4233/2946/2947/1021/7040/2944/2950/8324/8323/2549/6198/57492/9446/595/3162/4780/8503/6595/7048/10000/6605/673/7046/7976/5578/6604/4257/7157/7474/2939/2938/1026/8325",75
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","31/3074","59/9370",0.525423728813559,1.60156809986436,3.2387604865934,0.00131073096996676,0.00561056793241871,0.00307912410146236,"4881/2773/63924/3991/196883/2778/3643/5295/364/2167/5346/57104/5733/5290/207/2770/3667/11343/5140/11145/8660/113/8503/10000/154/54979/5742/153/134/5567/1081",31
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","70/3074","158/9370",0.443037974683544,1.35044431450384,3.10410775448326,0.00154735954334707,0.00654365300861232,0.00359120857872561,"5594/8140/6009/81929/528/84335/523/51256/3643/9470/3479/8322/1977/153129/5295/2932/387/79109/3551/1857/9550/6520/4893/3845/5604/51382/2885/5290/207/9296/6654/3480/23175/4040/3667/5728/10542/5170/1975/8649/8408/6249/7249/526/54468/54541/96459/6196/28956/51719/8324/8323/6198/58528/6794/1147/5562/8503/81617/10000/673/7976/8131/51606/5578/652968/9663/6446/7474/8325",70
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","47/3074","99/9370",0.474747474747475,1.44709949199214,3.12481761807268,0.00161590131799859,0.00675215907877982,0.00370563836082383,"2099/2064/5594/596/196883/2778/1956/3479/5295/4855/4893/5747/3845/4318/5604/581/8202/2885/5290/207/6654/3480/1432/4853/5469/1019/1031/6464/5601/2353/5603/638/6714/5600/6198/113/6667/595/8503/3714/10000/673/4193/2852/7157/5567/1026",47
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","19/3074","32/9370",0.59375,1.8098365322056,3.20635503814801,0.00177116974595488,0.00731388918623722,0.00401392029114233,"332/54205/596/637/836/5366/581/57448/331/56616/10018/598/5601/8678/841/8772/840/666/5414",19
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","49/3074","105/9370",0.466666666666667,1.42246801127738,3.04180913221189,0.00205177802482837,0.00837411728738092,0.00459578186711864,"51622/221960/1457/7879/1965/5878/25820/5970/81631/4893/10651/22808/55669/5868/3845/9451/4077/54708/5869/598/65018/29110/54543/2309/10370/5601/8678/8408/267/7415/4286/25813/9958/6714/10075/11345/23710/22800/6667/664/79671/139341/10133/8878/84749/338382/7942/7157/64750",49
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","41/3074","85/9370",0.482352941176471,1.47028206207662,3.0432884237482,0.00215089007533397,0.00867772892462325,0.00476240633740008,"6241/1503/4860/7371/7298/8833/3251/7083/4832/204/6240/5167/51816/159/26289/7084/132/1890/1635/10201/1841/102157402/2987/953/51292/1716/4830/272/1633/56474/100/124583/51251/3615/29922/79077/7498/129607/50484/205/956",41
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","64/3074","144/9370",0.444444444444444,1.35473143931179,2.99737025602326,0.00218789937353076,0.00872673500124203,0.00478930126024079,"79966/714/32/713/5465/719/126/125/127/6434/51176/720/721/100293534/6885/2932/29896/5970/51094/3551/9370/728/836/6934/5571/50507/4615/23118/717/83439/207/217/219/501/6720/1432/6416/29110/23175/6319/2309/8737/5601/841/5603/51/4790/1374/5564/2920/2308/84818/37/5600/1147/595/5562/8772/718/224/10000/128/9663/5565",64
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","62/3074","139/9370",0.446043165467626,1.35960457398557,2.98451951601614,0.00229086050374668,0.00903474198668635,0.00495833793241446,"2099/5594/5241/2773/596/9687/3312/3326/196883/2778/7031/1956/5295/7184/3310/4893/148327/3845/1385/4318/5604/3875/2288/8202/2885/5580/5914/3320/5290/207/6654/2770/3708/3710/801/805/9166/6464/3304/3303/808/2353/2550/90993/3880/6714/113/10488/6667/8503/3872/3861/3866/10000/3709/2289/1509/9586/810/2852/23236/5567",62
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","34/3074","68/9370",0.5,1.52407286922576,3.03056886689941,0.00236822459762076,0.00923607593072096,0.00506883159490759,"890/5594/2209/51176/7704/5295/862/597/5970/3551/6776/4893/3845/6934/5604/2885/5914/83439/5290/207/3684/6654/1848/6774/6777/4790/3815/6198/1147/595/8503/5371/10000/673",34
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","53/3074","116/9370",0.456896551724138,1.39268727705113,2.97356385380577,0.00246064163096861,0.00949104629087892,0.005208761347221,"29968/2023/5230/6472/6391/6120/729020/275/1737/2597/35/4200/2271/283871/26227/7167/3419/2203/7086/6390/5226/2805/5634/2539/3418/2806/1373/55902/1738/5096/5631/26007/113675/10993/10873/3417/2821/51/5315/2747/226/83440/4329/6470/8801/2746/3421/84532/5091/230/84693/128/48",53
